PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-006"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
23,22.000,"Mount",0.123,-0.010,0.123,-0.010,0.000,0.000,0,,0,,,,30814,32.46,0
24,23.000,"Mount",0.401,0.214,0.401,0.214,0.401,0.214,48,E,29,N,,,30851,32.56,0
25,24.000,"Mount",0.294,0.058,0.294,0.058,0.294,0.000,35,E,0,,,,30888,32.66,0
26,25.000,"Mount",0.529,0.016,0.529,0.016,0.529,0.000,63,E,0,,,,30925,32.74,0
27,26.000,"Mount",0.441,-0.051,0.441,-0.051,0.441,0.000,52,E,0,,,,30962,32.82,0
28,27.000,"Mount",0.489,-0.133,0.489,-0.133,0.489,0.000,58,E,0,,,,30999,32.88,0
29,28.000,"Mount",0.407,-0.211,0.407,-0.211,0.407,-0.211,48,E,29,S,,,31036,32.93,0
30,29.000,"Mount",0.397,-0.161,0.397,-0.161,0.397,0.000,47,E,0,,,,31073,32.96,0
31,30.000,"Mount",0.399,-0.338,0.399,-0.338,0.399,-0.338,47,E,47,S,,,31110,32.99,0
32,31.000,"Mount",0.700,-0.216,0.700,-0.216,0.700,-0.216,83,E,30,S,,,31147,33.00,0
33,32.000,"Mount",0.645,-0.509,0.645,-0.509,0.645,-0.509,77,E,71,S,,,31184,33.00,0
34,33.000,"Mount",0.610,-0.410,0.610,-0.410,0.610,-0.410,73,E,57,S,,,31221,32.98,0
35,34.000,"Mount",0.617,-0.264,0.617,-0.264,0.617,-0.264,74,E,37,S,,,31258,32.96,0
36,35.000,"Mount",0.634,-0.445,0.634,-0.445,0.634,-0.445,76,E,62,S,,,31295,32.92,0
37,36.000,"Mount",0.787,-0.348,0.787,-0.348,0.787,-0.348,94,E,48,S,,,31332,32.87,0
38,37.000,"Mount",0.826,-0.425,0.826,-0.425,0.826,-0.425,99,E,59,S,,,31369,32.81,0
39,38.000,"Mount",0.841,-0.392,0.841,-0.392,0.841,-0.392,100,E,54,S,,,31406,32.73,0
40,39.000,"Mount",0.429,-0.405,0.429,-0.405,0.429,-0.405,51,E,56,S,,,31443,32.64,0
41,40.000,"Mount",0.633,-0.384,0.633,-0.384,0.633,-0.384,75,E,53,S,,,31480,32.55,0
42,41.000,"Mount",0.352,-0.338,0.352,-0.338,0.352,-0.338,42,E,47,S,,,31517,32.44,0
43,42.000,"Mount",0.491,-0.354,0.491,-0.354,0.491,-0.354,58,E,49,S,,,31554,32.32,0
44,43.000,"Mount",0.512,-0.375,0.512,-0.375,0.512,-0.375,61,E,52,S,,,31591,32.18,0
45,44.000,"Mount",0.342,-0.271,0.342,-0.271,0.342,-0.271,41,E,37,S,,,31628,32.04,0
46,45.000,"Mount",0.279,-0.375,0.279,-0.375,0.279,-0.375,33,E,52,S,,,31665,31.89,0
47,46.000,"Mount",0.267,-0.433,0.267,-0.433,0.267,-0.433,32,E,60,S,,,31702,31.73,0
48,47.000,"Mount",0.285,-0.236,0.285,-0.236,0.285,-0.236,34,E,32,S,,,31739,31.56,0
49,48.000,"Mount",-0.003,-0.440,-0.003,-0.440,0.000,-0.440,0,,61,S,,,31776,31.38,0
50,49.000,"Mount",0.046,-0.206,0.046,-0.206,0.000,-0.206,0,,28,S,,,31813,31.19,0
51,50.000,"Mount",-0.258,-0.217,-0.258,-0.217,-0.258,-0.217,30,W,30,S,,,31850,30.99,0
52,51.000,"Mount",-0.282,-0.288,-0.282,-0.288,-0.282,-0.288,33,W,40,S,,,31887,30.79,0
53,52.000,"Mount",-0.160,-0.428,-0.160,-0.428,0.000,-0.428,0,,59,S,,,31924,30.58,0
54,53.000,"Mount",-0.249,-0.346,-0.249,-0.346,-0.249,-0.346,29,W,48,S,,,31961,30.36,0
55,54.000,"Mount",-0.438,-0.344,-0.438,-0.344,-0.438,-0.344,52,W,48,S,,,31998,30.14,0
56,55.000,"Mount",-0.335,-0.197,-0.335,-0.197,-0.335,0.000,40,W,0,,,,32035,29.91,0
57,56.000,"Mount",-0.543,-0.420,-0.543,-0.420,-0.543,-0.420,65,W,58,S,,,32072,29.67,0
58,57.000,"Mount",-0.560,-0.482,-0.560,-0.482,-0.560,-0.482,67,W,67,S,,,32109,29.44,0
59,58.000,"Mount",-0.350,-0.174,-0.350,-0.174,-0.350,0.000,41,W,0,,,,32146,29.20,0
60,59.000,"Mount",-0.582,-0.319,-0.582,-0.319,-0.582,-0.319,69,W,44,S,,,32183,28.95,0
