PHD2 version 2.6.13
Log start 2026-02-01 22:00:00
Guiding Begins at 2026-02-01 22:00:02
Equipment Profile = "SCT-2032-sub-001"
Mount = "Mount"
Camera = "Simulator"
Guider = "Hysteresis"
Exposure = 1.0 s
Image scale = 0.35 arc-sec/px

Frame,Time,Mount,dx,dy,RARawDistance,DECRawDistance,RAGuideDistance,DECGuideDistance,RADuration,RADirection,DECDuration,DECDirection,XStep,YStep,StarMass,SNR,ErrorCode
30,29.000,"Mount",0.641,-0.281,0.641,-0.281,0.641,-0.281,76,E,39,S,,,31073,32.96,0
31,30.000,"Mount",0.521,-0.233,0.521,-0.233,0.521,-0.233,62,E,32,S,,,31110,32.99,0
32,31.000,"Mount",0.731,-0.486,0.731,-0.486,0.731,-0.486,87,E,68,S,,,31147,33.00,0
33,32.000,"Mount",0.733,-0.361,0.733,-0.361,0.733,-0.361,87,E,50,S,,,31184,33.00,0
34,33.000,"Mount",0.641,-0.491,0.641,-0.491,0.641,-0.491,76,E,68,S,,,31221,32.98,0
35,34.000,"Mount",0.676,-0.414,0.676,-0.414,0.676,-0.414,81,E,58,S,,,31258,32.96,0
36,35.000,"Mount",0.773,-0.391,0.773,-0.391,0.773,-0.391,92,E,54,S,,,31295,32.92,0
37,36.000,"Mount",0.739,-0.439,0.739,-0.439,0.739,-0.439,88,E,61,S,,,31332,32.87,0
38,37.000,"Mount",0.542,-0.275,0.542,-0.275,0.542,-0.275,65,E,38,S,,,31369,32.81,0
39,38.000,"Mount",0.636,-0.565,0.636,-0.565,0.636,-0.565,76,E,79,S,,,31406,32.73,0
40,39.000,"Mount",0.783,-0.501,0.783,-0.501,0.783,-0.501,93,E,70,S,,,31443,32.64,0
41,40.000,"Mount",0.439,-0.568,0.439,-0.568,0.439,-0.568,52,E,79,S,,,31480,32.55,0
42,41.000,"Mount",0.562,-0.424,0.562,-0.424,0.562,-0.424,67,E,59,S,,,31517,32.44,0
43,42.000,"Mount",0.423,-0.507,0.423,-0.507,0.423,-0.507,50,E,70,S,,,31554,32.32,0
44,43.000,"Mount",0.491,-0.450,0.491,-0.450,0.491,-0.450,58,E,63,S,,,31591,32.18,0
45,44.000,"Mount",0.467,-0.226,0.467,-0.226,0.467,-0.226,56,E,31,S,,,31628,32.04,0
46,45.000,"Mount",0.445,-0.412,0.445,-0.412,0.445,-0.412,53,E,57,S,,,31665,31.89,0
47,46.000,"Mount",0.411,-0.369,0.411,-0.369,0.411,-0.369,49,E,51,S,,,31702,31.73,0
48,47.000,"Mount",0.284,-0.346,0.284,-0.346,0.284,-0.346,34,E,48,S,,,31739,31.56,0
49,48.000,"Mount",-0.021,-0.329,-0.021,-0.329,0.000,-0.329,0,,46,S,,,31776,31.38,0
50,49.000,"Mount",-0.035,-0.280,-0.035,-0.280,0.000,-0.280,0,,39,S,,,31813,31.19,0
51,50.000,"Mount",-0.052,-0.275,-0.052,-0.275,0.000,-0.275,0,,38,S,,,31850,30.99,0
52,51.000,"Mount",-0.252,-0.381,-0.252,-0.381,-0.252,-0.381,30,W,53,S,,,31887,30.79,0
53,52.000,"Mount",-0.323,-0.312,-0.323,-0.312,-0.323,-0.312,38,W,43,S,,,31924,30.58,0
54,53.000,"Mount",-0.433,-0.357,-0.433,-0.357,-0.433,-0.357,51,W,49,S,,,31961,30.36,0
55,54.000,"Mount",-0.294,-0.461,-0.294,-0.461,-0.294,-0.461,35,W,64,S,,,31998,30.14,0
56,55.000,"Mount",-0.569,-0.286,-0.569,-0.286,-0.569,-0.286,68,W,40,S,,,32035,29.91,0
57,56.000,"Mount",-0.355,-0.272,-0.355,-0.272,-0.355,-0.272,42,W,38,S,,,32072,29.67,0
58,57.000,"Mount",-0.541,-0.334,-0.541,-0.334,-0.541,-0.334,64,W,46,S,,,32109,29.44,0
59,58.000,"Mount",-0.209,-0.257,-0.209,-0.257,-0.209,-0.257,25,W,36,S,,,32146,29.20,0
60,59.000,"Mount",-0.553,-0.581,-0.553,-0.581,-0.553,-0.581,66,W,81,S,,,32183,28.95,0
